filename,width,height,class,xmin,ymin,xmax,ymax
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,truck,189,181,213,215
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,truck,363,183,387,213
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,truck,340,189,367,226
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,truck,167,191,200,231
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,car,242,209,265,225
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,car,223,223,255,256
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,truck,84,220,139,279
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,truck,114,219,197,309
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,car,220,246,262,285
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,car,327,258,373,314
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,car,204,273,238,303
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,car,183,289,235,338
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,car,156,329,219,398
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,truck,1,265,133,481
pagi_16112021_mp4-277_jpg.rf.c6b7072e3dc9c449bde2b77ac68a93bb.jpg,640,480,car,127,395,213,476
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,379,145,428,198
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,234,172,257,199
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,124,180,156,222
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,403,182,453,221
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,359,192,379,220
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,216,195,243,221
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,306,203,333,232
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,366,203,397,235
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,315,217,348,247
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,460,208,524,259
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,109,191,193,288
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,379,216,443,266
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,321,240,355,259
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,403,217,463,305
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,335,249,388,306
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,523,238,641,334
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,322,264,373,334
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,178,273,245,343
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,475,264,617,416
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,345,316,393,371
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,37,349,129,422
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,356,361,430,438
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,truck,549,339,641,481
adit_mp4-1413_jpg.rf.1401ce9ae8ebbeb7270b6affbf730bcf.jpg,640,480,car,364,434,463,481
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,164,169,187,190
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,truck,375,160,412,203
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,truck,338,167,369,201
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,227,175,248,196
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,183,185,209,207
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,357,192,378,220
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,222,196,245,218
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,truck,424,187,456,236
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,310,202,338,225
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,371,202,396,228
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,truck,457,200,525,267
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,314,221,350,249
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,truck,377,215,427,272
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,327,241,365,258
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,truck,398,223,460,316
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,truck,317,257,374,310
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,truck,459,271,492,344
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,truck,475,264,619,416
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,341,315,406,384
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,355,365,412,426
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,truck,549,339,641,481
adit_mp4-1375_jpg.rf.8d7d857d38be41395075d74e242e081b.jpg,640,480,car,369,430,463,481
adit_mp4-1904_jpg.rf.3456d27dae7e39dcd2678985ac80b90e.jpg,640,480,bus,182,170,214,201
